dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,A1,A2,tot_kbps,label
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3753,1332,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,3679,58460931,0,5232,0,0,5232,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3733,1402,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,58460931,3749,5232,0,0,0,5232,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,3413,3623,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3683,1422,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3733,1172,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3753,5227812,0,1393,0,0,1393,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3528,1422,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3929,53230984,0,3838,0,0,3838,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,3553,3343,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3733,1402,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,3833,125226685,0,3838,0,0,3838,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3753,1332,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3969,53060140,0,2619,0,0,2619,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,3959,178284357,0,6457,0,0,6457,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3413,3623,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3663,1242,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,3623,3413,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,58460931,3679,5232,0,0,0,5232,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,125225619,3833,3838,0,0,0,3838,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,3343,3553,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,3623,3413,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3663,1422,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3753,1242,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,3623,3413,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,178285423,3959,6457,0,0,0,6457,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,4,179670409,3917,11699,0,0,0,11699,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3413,3623,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3773,1422,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,3,3343,3623,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,3646,1492,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,159953526,1550,11948,0,0,0,11948,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,2,357952669,2082,18157,0,0,0,18157,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,5312,631111346,0,7165,0,0,7165,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,4,3842,3590,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,4,3842,3520,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,4,3842,3590,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,3590,3842,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,4850,371009240,0,4811,0,0,4811,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,4434,260103418,0,2354,0,0,2354,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,3590,3842,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,1,4266,143970278,0,2452,0,0,2452,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,3520,3842,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,1,3972,1312,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,1,3882,1312,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,3952,1472,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,3972,1402,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,1,3952,1562,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,143928808,4094,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,4358,143926544,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,287897858,4472,2452,0,0,0,2452,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,4,4514,279389270,0,0,0,0,0,1
11335,1,167772161,167772168,4777,5092282,10,711000000,10711000000,3,1790,0,0,0,0,1,1,3753,1172,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,2,3865,1562,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,1,3747,1492,0,0,0,0,0,1
11635,1,167772161,167772168,135036,143948376,310,738000000,3.11E+11,2,1943,8641,9211306,288,0,1,3,3842,3590,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,3472,1332,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,3492,1332,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,2,3472,1172,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,3542,1086,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,3236,3362,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,3369,1332,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,4,3362,3022,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,2,3267,1172,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,4,3362,3236,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,3236,3362,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,98995016,3381,6384,0,0,0,6384,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,4,3362,3236,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,2,3492,1422,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,3022,3362,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,2,3582,1332,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,4,3381,98996058,0,6384,0,0,6384,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,1,3582,1332,0,0,0,0,0,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,3488,60959458,0,5563,0,0,5563,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,4,3488,98996058,0,6384,0,0,6384,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,3,3488,60960524,0,5564,0,0,5564,1
9846,1,167772161,167772167,6002,6398132,13,242000000,13242000000,2,1910,0,0,0,0,1,2,3472,1172,0,0,0,0,0,1
