dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,A1,A2,tot_kbps,label
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,3,143928631,3917,0,0,0,0,0,0
11605,1,167772161,167772168,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,1,4,3842,3520,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,1,3795,1242,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,2,3688,1492,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,3,3413,3665,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,1,3795,1402,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,4,3665,3413,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,1,3775,1492,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,3845,1402,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,4,354583059,4295,16578,0,0,0,16578,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,1,3775,1242,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,2,3413,3665,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,1,4047,143926620,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,4,3665,3413,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,580813093,2586,19164,0,0,0,19164,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,4,3665,3413,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,3795,1402,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,3795,1492,0,0,0,0,0,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,4047,193291210,0,6307,0,0,6307,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,1,3879,48410560,0,3838,0,0,3838,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,2,4055,96412666,0,3838,0,0,3838,0
11425,1,167772161,167772168,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,1,3,3413,3665,0,0,0,0,0,0
11425,1,167772162,167772168,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,1,1,3570,1492,0,0,0,0,0,0
11455,1,167772162,167772168,103866,110721156,230,747000000,2.31E+11,3,1943,13533,14426178,451,0,1,1,3775,1242,0,0,0,0,0,0
11605,1,167772161,167772168,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,1,3,4766,352966170,0,6400,0,0,6400,0
11515,1,167772161,167772168,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,1,2,3795,1492,0,0,0,0,0,0
11515,1,167772161,167772168,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,1,4,498833803,4715,12831,0,0,0,12831,0
